sample,spotsize,fluence,rep_rate,sig_bg,N,9.979,10B,10.035,10.433,11B,11/10B,11/10.035,11/9.979,11/10B2se,11/10.0352se,11/9.9792se,11/10Bc,[B],d11B,r2se,B/Ca,B/Ca_2sd,Dd11B,cald11B
nist612 - 13,75,6.101,6,97.47024369597679,53,2.8130374882622696e-05,0.009758623603989793,2.6053793147197032e-05,0.0,0.044725946737592934,4.582996295931713,1983.8870169686732,1709.9012483726212,0.0018675144023538824,294.39593287695413,144.85374315974934,4.041712917867162,0.0,-0.483986609401188,0.4074876525673082,546.6568363733151,85.11179041229862,-3.913075712138099,3.429089102736911
nist612 - 14,75,6.048,6,91.39962708672273,53,2.2847810529659062e-05,0.009344942144662086,2.1634227020858018e-05,0.0,0.04284218196120166,4.584460729248604,2254.4722751246454,5014.472046196825,0.0018250007889997876,266.66876759333195,5579.486672774036,4.043004391538979,0.0,-0.1646050397339227,0.39808407068608626,619.4237332931658,78.86779504743113,-3.595465940802434,3.4308609010685114
nist612 - 15,75,6.241,6,93.96626801219927,53,2.9681787048688835e-05,0.00928989756924151,2.9979807095626648e-05,0.0,0.042551314855807425,4.580395176447678,1537.4884173755725,1670.398463252386,0.001537778290020759,164.47212895331086,245.86680054769906,4.039625126578309,0.0,-1.0002976063059332,0.33573048411368334,403.7888429494348,47.199941382599484,-4.677149470637564,3.6768518643316304
nist612 - 16,75,6.251,6,91.68624555435326,53,2.5603284560450302e-05,0.0092070869080267,1.980369296818532e-05,0.0,0.04220430842617335,4.583839282713088,2514.4914733648557,1943.9572213403392,0.0017895186599018946,301.89518435046205,295.7901027615978,4.042662615194989,0.0,-0.24912636417173672,0.3903973393331348,658.5617165877522,84.93977585723772,-3.3538484296661952,3.1047220654944585
nist612 - 17,75,6.209,6,92.55425567964689,50,3.138632604183853e-05,0.009063127640725666,2.7589347552743004e-05,0.0,0.041523319041575676,4.5815198604475205,1916.083490505248,1457.0301632669941,0.0017077371759575545,513.4070386367123,147.65730725291516,4.0403091017069634,0.0,-0.831150487808352,0.3727446847279941,516.6287933724882,140.55287687509104,-4.006505339138061,3.1753548513297094
nist612 - 18,75,6.127,6,90.8289327309575,53,2.366668902389265e-05,0.009081276595405295,2.1223130058661208e-05,0.0,0.041636878596369005,4.585001807305057,2326.5542018197684,2620.789427205645,0.0016554890676900617,344.71901205359194,1048.25613674824,4.043379729360816,0.0,-0.07178395842977192,0.36106617560160015,628.6571700547665,97.74325572093427,-3.523152628106991,3.451368669677219
nist612 - 19,75,6.326,6,93.71762850543664,53,3.2214570271980666e-05,0.00904968212094493,2.5644033226758774e-05,0.0,0.04146360065690599,4.581834265414845,1778.354583071329,644.2324152145507,0.0018653172511106369,175.6148496071717,1483.6798956322884,4.041354969716328,0.0,-0.5725072233074835,0.4071114630205308,473.98350547379175,51.862017294505954,-4.217891695918293,3.645384472610809
nist612 - 20,75,6.222,6,93.03269882794933,50,2.2665264223484523e-05,0.00921389072282653,2.1642748798214942e-05,0.0,0.04223424369903923,4.583797246960005,2506.5241910616655,2085.749377614047,0.001800273532275133,499.5421185962387,506.31057651982434,4.043086395333984,0.0,-0.1443254929348603,0.3927471995994331,663.1490021493687,135.80722856951513,-3.3605176029533093,3.216192110018449
nist612 - 21,75,6.217,6,96.091735808384,53,3.2715050070079275e-05,0.009125092916688891,2.711005272150448e-05,0.0,0.04178706953525145,4.579285765536289,1702.897298087461,1402.3783169164817,0.001663080218591494,175.9379798433393,197.72342940087995,4.039441098736802,0.0,-1.0458077101241914,0.3631745874231824,403.10273702430266,45.77427228760958,-4.347985060402468,3.302177350278277
nist612 - 22,75,6.245,6,92.89639846870581,53,2.204917387837039e-05,0.00902825557278834,2.0745109795561198e-05,0.0,0.0413833001458449,4.583749409289431,2202.8583255089256,2374.0758219163004,0.001880185204770043,747.225953849807,579.7611971647101,4.0433785306748256,0.0,-0.07208039359640761,0.4101849898163407,518.042763899254,177.41132706167983,-3.6501107648619318,3.578030371265524
nist612 - 23,75,6.177,6,94.72610029410838,54,2.7800873646328632e-05,0.009061102084137686,2.4505188996241234e-05,0.0,0.04150683691890822,4.580753377381022,-3125.535951121719,1649.3340898541437,0.0017354245207527445,9890.554803037316,166.8141270694602,4.040953232041108,0.0,-0.6718569910233452,0.3788513324733819,-734.7510792981031,2325.3296569880968,,
